기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20254,U,관광특구,3001496,강남 마이스 관광특구,109921,53290,56631,8894,21760,29582,25319,15024,9343,5732,20525,26812,27794,23322,5735,15423,16342,17360,17968,17478,13580,11770
20254,U,관광특구,3001495,잠실 관광특구,4226024,1994837,2231189,443601,974324,1043765,726236,486949,551150,755096,743839,620593,667575,926500,512425,555832,570736,602424,610277,625251,660794,600710
20254,U,관광특구,3001494,종로?청계 관광특구,8405499,4432125,3973375,353225,1499669,1649406,1645150,1433718,1824329,924994,1617825,1702449,1747276,1718489,694468,1259903,1305270,1356440,1329243,1328500,1034581,791562
20254,U,관광특구,3001493,동대문패션타운 관광특구,3312549,1549334,1763215,191753,617894,705563,673858,515740,607742,568196,648604,526939,538330,638904,391577,496570,513377,530211,523392,496987,382867,369143
20254,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,7288146,3442008,3846139,367079,1248220,1656377,1666727,1197183,1152561,420450,1475904,1769988,1781613,1449540,390653,1107528,1163467,1207069,1180228,1164836,817140,647880
20254,U,관광특구,3001491,이태원 관광특구,2152318,1129714,1022605,132909,532583,532245,398094,260027,296461,500386,366640,285182,304450,408497,287164,272426,267212,286169,294785,322647,372949,336131
20254,R,전통시장,3130327,"평화시장(남평화시장, 제일평화시장, 신평화패션타운)",58826,27409,31417,2288,8233,12718,13627,10300,11659,13291,11733,8725,8280,9164,7634,9302,9534,9703,9617,8598,5702,6372
20254,R,전통시장,3130326,고덕 골목형상점가,88263,39847,48415,16472,7118,14448,18925,10594,20706,19459,19451,10624,10986,16545,11200,12289,12304,12623,12464,12790,13155,12638
20254,R,전통시장,3130325,명일전통시장,294499,131866,162633,51314,29693,38766,48497,43779,82452,58148,56671,39847,41080,61461,37292,40621,40298,42260,40601,42414,43456,44852
20254,R,전통시장,3130324,길동복조리시장,559312,246374,312938,73877,60977,79703,93560,91880,159317,160692,113191,60067,57416,88150,79800,79606,79493,80778,80056,79523,79948,79907
20254,R,전통시장,3130323,둔촌역전통시장,292778,139680,153098,36896,32537,42534,49718,50372,80722,93359,55293,30130,30728,44862,38406,41313,41116,41546,41490,42692,42892,41727
20254,R,전통시장,3130322,고분다리전통시장,100440,49075,51365,11708,12887,14345,14304,16851,30348,29029,19808,10546,10522,16312,14224,14150,14081,13901,14405,14208,14689,15009
20254,R,전통시장,3130321,장신구 특화거리 상점가,294449,137776,156672,62125,32340,39455,50120,44227,66184,68420,63536,41074,37950,48601,34870,43021,42204,43437,42633,42432,39957,40763
20254,R,전통시장,3130320,암사종합시장,229360,104735,124627,21825,26385,33542,37720,41595,68295,44044,39640,30544,34847,50327,29960,31801,32177,32311,32108,32939,34832,33192
20254,R,전통시장,3130319,성내전통시장,647635,307040,340596,114934,67773,101787,108630,90894,163616,187236,129165,66821,71226,108316,84869,88832,87074,87118,88103,88711,101570,106229
20254,R,전통시장,3130318,로데오거리상점가,493325,227409,265916,43154,99475,104973,76973,73409,95339,86384,85619,69506,77752,110662,63404,63542,64693,68298,67865,71963,80570,76395
20254,R,전통시장,3130317,마천중앙시장,597475,285750,311726,88415,54340,71599,82146,99513,201462,167039,117731,67375,68956,98534,77842,83586,81979,81863,83624,83369,89594,93462
20254,R,전통시장,3130316,마천시장,74876,36589,38287,10483,6983,9334,10535,12872,24670,22551,14837,7876,7705,11608,10300,10600,10398,10443,10575,10558,11066,11240
20254,R,전통시장,3130315,문정동 로데오거리 상점가(문정동 로데오거리),627169,304906,322262,87038,91007,128609,105949,89751,124815,143156,129201,85805,85888,109464,73653,92406,91940,92567,92524,92151,83244,82336
20254,R,전통시장,3130314,풍납시장,1204629,547625,657003,133818,150407,199209,172689,202047,346458,306290,242047,141577,143800,210686,160228,167455,168364,169502,169607,171282,179803,178616
20254,R,전통시장,3130313,방이시장,999799,458860,540939,116765,142147,214219,178270,140167,208232,288801,204937,108783,108457,155618,133204,142457,142029,140098,143429,143075,143986,144727
20254,R,전통시장,3130312,석촌시장,259879,128872,131007,48172,27942,48369,47020,37499,50877,53713,50212,36304,36579,51079,31992,36094,36482,36957,37236,38148,38177,36785
20254,R,전통시장,3130311,새마을시장,958227,443773,514454,161497,140162,167477,175990,133092,180007,220912,175945,113045,124612,193103,130611,129765,130154,133621,134133,138746,149831,141976
20254,R,전통시장,3130310,강남개포시장,230311,101100,129212,59984,19220,23968,38484,34314,54340,21395,45470,41712,44686,54797,22250,32272,32787,33786,33159,33769,32515,32022
20254,R,전통시장,3130309,은마종합상점가,40236,18534,21703,12777,2823,2884,8015,6384,7355,10929,7840,4789,5265,6460,4953,6183,6260,6202,6293,6397,4867,4036
20254,R,전통시장,3130308,청담삼익시장,30741,15680,15061,4208,3622,6013,6518,4956,5426,7658,7005,4121,3996,4232,3727,4536,4696,4639,4512,4583,4048,3725
20254,R,전통시장,3130307,도곡시장,63979,28808,35170,23480,5431,5074,13612,9614,6768,7313,11371,10141,12970,15963,6221,7981,8179,8315,8287,8526,11441,11250
20254,R,전통시장,3130306,강남언주로,250898,126909,123989,9182,47995,71713,58777,33425,29803,57816,55616,38455,35985,36962,26063,38774,39409,38051,38423,37172,29967,29102
20254,R,전통시장,3130305,논현종합시장,26609,13344,13265,1913,5032,6845,5684,3677,3459,4547,5833,4402,4368,4747,2714,4040,4063,4042,3999,3924,3297,3243
20254,R,전통시장,3130304,신사상가,20530,8882,11647,5739,1385,1892,3746,3237,4531,6909,4265,2091,1985,2602,2679,3029,3036,2953,3050,3092,2771,2598
20254,R,전통시장,3130303,영동전통시장,368682,182493,186190,17725,78478,94070,79601,48701,50107,62667,67605,55023,56726,79882,46780,53624,55152,55734,55748,58153,49589,40683
20254,R,전통시장,3130302,강남시장(강남구 강남시장),49926,24407,25519,3852,11074,12018,11117,6591,5275,7382,8999,8657,8870,10715,5302,7164,7420,7475,7540,7836,7079,5411
20254,R,전통시장,3130301,양재시장,59329,29904,29426,8020,8100,12260,10604,8334,12011,13060,11991,8767,8628,10389,6496,8959,9011,9045,9008,9015,7400,6889
20254,R,전통시장,3130296,남부종합시장,35521,16218,19303,6324,3889,4842,6465,6134,7868,10954,7160,3637,3641,5389,4740,4982,4928,5019,5034,4967,5223,5369
20254,R,전통시장,3130295,인헌시장(원당종합시장),276864,127726,149138,27339,57758,53755,40202,37848,59963,59329,50223,32807,37069,59011,38426,38295,37838,37988,38646,38740,42211,43146
20254,R,전통시장,3130294,관악중부시장,452210,210037,242174,78200,70585,75328,60457,64196,103446,102981,92706,57720,62281,80988,55536,64218,63114,63573,64206,65283,66106,65709
20254,R,전통시장,3130293,봉천중앙시장,101743,46966,54777,8518,25655,21953,13805,12539,19274,22869,21325,13562,13587,18405,11993,14308,14403,14460,14744,14799,14672,14355
20254,R,전통시장,3130292,봉천현대시장,97677,45798,51879,19550,13340,16418,15897,13412,19058,20534,18257,12978,14399,20366,11143,13253,12949,13102,13197,13364,15980,15831
20254,R,전통시장,3130291,봉천제일종합시장,26277,12203,14074,1540,7694,5247,3128,3306,5362,7028,5228,2943,2948,4533,3597,3630,3613,3579,3707,3694,3998,4053
20254,R,전통시장,3130290,영림시장,431348,203753,227596,30160,117085,86038,56107,55240,86719,100682,84564,50960,52837,82470,59835,60892,60861,61516,62581,62607,62572,60321
20254,R,전통시장,3130289,봉일시장,59093,28582,30511,5332,12965,11032,8446,9077,12242,13807,11167,6862,7336,11643,8279,8178,8097,8382,8264,8318,8811,9044
20254,R,전통시장,3130288,신림현대종합상가,15701,7636,8066,1215,2420,2757,2321,2416,4571,3222,3112,1833,2203,3335,1997,2104,2062,2102,2132,2066,2562,2674
20254,R,전통시장,3130287,삼성동 시장(삼성동시장),1107185,580680,526506,73190,294349,188910,146451,138711,265573,252089,209272,137253,144242,214270,150058,156507,156159,156302,158097,157747,162378,159997
20254,R,전통시장,3130286,신신림시장(삼성동시장),101310,53302,48008,6549,27366,17116,13175,12488,24618,23842,19004,12004,12246,19915,14299,14232,14176,14192,14389,14372,14999,14952
20254,R,전통시장,3130285,서원동상점가,918412,483307,435105,62583,309050,213390,119517,97708,116163,142927,151715,122600,139623,223271,138275,119863,119650,128944,130000,135212,145803,138940
20254,R,전통시장,3130284,관악종합시장(신원시장),58187,29443,28744,4494,15004,13273,8322,6795,10299,15455,11112,6403,6847,10466,7905,7786,7650,7994,8123,8090,9161,9383
