기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20241,A,골목상권,3110001,이북5도청사,CS100001,한식음식점,385150643,11743,220129223,165021420,33971371,36152447,54147218,47275311,48582876,98450930,66570490,0,3760615,147548112,84453676,144941846,4446394,201770831,121416122,375991,9236194,24711655,57828917,91638059,139396136,7886,3857,1334,1489,1874,1663,1526,2475,1382,0,75,5513,2607,3496,52,6023,4281,26,508,935,1997,3135,3704
20241,A,골목상권,3110001,이북5도청사,CS100009,호프-간이주점,11026440,214,6576206,4450234,88580,354320,81755,2861434,3190117,3206716,1243518,1760462,0,88580,755956,3582143,4839299,7260408,1488313,0,0,0,1926993,2835272,3986456,83,131,9,18,5,10,41,82,49,6,0,9,37,123,39,103,78,0,0,0,32,55,95
20241,A,골목상권,3110001,이북5도청사,CS200001,일반교습학원,52047765,224,50535211,1512554,3574403,15459891,2515615,24519290,4466012,0,1512554,2276791,7928965,8844458,5047152,26437845,1512554,15635027,36412738,0,0,1512554,34183711,16351500,0,216,8,40,48,16,96,16,0,8,8,40,40,16,112,8,48,176,0,0,8,152,64,0
20241,A,골목상권,3110002,독립문역 1번,CS100001,한식음식점,582522265,20630,404509479,178012786,75562663,77489633,85308672,77869429,88279082,109188687,68824099,11057732,11232854,246477299,100242150,182313765,31198465,342458739,194550059,525292,27524637,59441281,105694876,152163982,191658728,16049,4581,2923,3229,3586,3185,3126,2826,1755,101,550,10911,3223,5358,487,11887,7589,17,914,2595,3483,5408,7049
20241,A,골목상권,3110002,독립문역 1번,CS100005,제과점,446525280,40242,350264783,96260497,79201394,47528511,60422175,81338739,81773964,48450353,47810144,0,110453668,75088742,132576193,103889828,24516849,145906968,192218982,2648022,25785241,56384380,85660056,82150633,85497618,29774,10468,5616,5646,6572,5795,6145,5398,5070,0,10677,7237,8222,11472,2634,16005,22755,329,3589,7446,8867,9543,8986
20241,A,골목상권,3110002,독립문역 1번,CS100007,치킨전문점,55508235,1849,37434765,18073470,3050257,6631678,8472190,9783743,9496897,11173131,6900339,2287761,0,0,1288286,26457116,25475072,34352228,14062940,0,7607287,6844616,11440950,15448355,7073958,1303,546,153,264,258,330,298,298,248,58,0,0,61,973,757,1222,492,0,248,293,383,505,286
20241,A,골목상권,3110002,독립문역 1번,CS100010,커피-음료,56568383,6508,43044857,13523526,8397801,8168432,9377199,9273018,7828407,8681256,4842270,0,7838492,18592538,17224309,12913044,0,18943857,31527026,253701,4731119,10154660,8600577,16543735,10187096,5022,1486,968,1056,1139,963,896,967,519,0,905,1981,2047,1575,0,2183,3904,59,508,994,1108,2123,1293
20241,A,골목상권,3110002,독립문역 1번,CS200001,일반교습학원,37534297,89,37534297,0,3438799,0,9235068,17366577,7493853,0,0,0,0,8980091,2032877,24953110,1568219,22071233,15463064,0,0,0,27950734,9583563,0,89,0,13,0,12,42,22,0,0,0,0,20,6,57,6,41,48,0,0,0,65,24,0
20241,A,골목상권,3110002,독립문역 1번,CS200028,미용실,24764115,804,17468851,7295264,3110525,3237117,6198624,1736106,3186479,7295264,0,0,0,4061767,8597344,12105004,0,11631915,13001993,0,3530084,2401614,6368618,7468876,4864715,601,203,102,138,173,73,115,203,0,0,0,166,304,334,0,441,355,0,72,115,285,223,101
20241,A,골목상권,3110002,독립문역 1번,CS300018,의약품,3791674246,118162,3679384786,112289460,735218441,736707095,707498900,754702797,745257553,112289460,0,0,1029866720,1093327521,1359868681,308611324,0,1758443896,2033230350,427449,58058282,143364185,496654966,922891259,2170278105,112633,5529,21691,23100,21798,24645,21399,5529,0,0,27008,35356,42161,13637,0,52308,65854,108,4052,9121,17035,30958,56888
